Company,Symbol,IPO Date,Liquidation Date,?Trust Acct/Share,Trust Account,Unit Specs,Warrant Specs,Merger Target?,Intended Sector
Capstar Special Purpose Acquisition Corp.,CPSR,7/2/2020,7/7/2022,$10.00 ,"$276,000,000 ",U=S+W/2,W=S@11.5,No,"Consumer, Healthcare or TMT"
Panacea Acquisition Corp.,PANA,7/1/2020,7/6/2022,$10.00 ,"$143,750,000 ",U=S+W/3,W=S@11.5,No,Biotechnology
GS Acquisition Holdings Corp II,GSAH.U,6/30/2020,7/2/2022,$10.00 ,"$750,000,000 ",U=S+W/4,W=S@11.5,No,"Diversified Industrial, Healthcare, TMT, and Alternative Asset Management"
Fusion Acquisition Corp.,FUSE,6/26/2020,12/30/2021,$10.00 ,"$350,000,000 ",U=S+W/2,W=S@11.5,No,FinTech or wealth/asset management
Kensington Capital Acquisition Corp.,KCAC,6/26/2020,6/30/2022,$10.00 ,"$229,959,452 ",U=S+W/2,W=S@11.5,Yes,Automotive in North America
Brilliant Acquisition Corporation,BRLI,6/24/2020,6/26/2021,$10.00 ,"$46,000,107 ",U=S+W+R,W=S@11.5,No,Asia-pacific region
Trebia Acquisition Corp.,TREB,6/17/2020,6/19/2022,$10.00 ,"$517,500,000 ",U=S+W/3,W=S@11.5,No,"Financial services, technology, software, data, analytics, services and related areas"
Hudson Executive Investment Corp.,HECCU,6/9/2020,6/11/2022,$10.00 ,"$414,027,563 ",U=S+W/2,W=S@11.5,No,Financial technology and Healthcare
ARYA Sciences Acquisition Corp II,ARYB,6/5/2020,6/9/2022,$10.00 ,"$149,486,587 ",U=S+W/3,W=S@11.5,Yes,Life sciences and medical technologies in North America and Europe
Mountain Crest Acquisition Corp,MCAC,6/5/2020,6/9/2021,$10.20 ,"$58,650,863 ",U=S+R,,No,North America
Foley Trasimene Acquisition Corp.,WPF,5/27/2020,5/29/2022,$10.00 ,"$1,035,108,820 ",U=S+W/3,W=S@11.5,No,Financial technology or business process outsourcing
Longview Acquisition Corp.,LGVW,5/21/2020,5/25/2022,$10.00 ,"$414,057,130 ",U=S+W/3,W=S@11.5,No,Healthcare
B. Riley Principal Merger Corp. II,BMRG,5/20/2020,11/22/2021,$10.10 ,"$176,738,914 ",U=S+W/2,W=S@11.5,Yes,Not specified
Novus Capital Corporation,NOVSU,5/15/2020,11/19/2021,$10.00 ,"$100,011,032 ",U=S+W,W=S@11.5,No,Smart technology innovations
"GigCapital3, Inc.",GIK,5/14/2020,11/18/2021,$10.10 ,"$202,007,715 ",U=S+(3/4)W,W=S@11.5,No,TMT
Jaws Acquisition Corp.,JWS,5/14/2020,5/18/2022,$10.00 ,"$690,054,727 ",U=S+W/3,W=S@11.5,No,Growth-oriented companies
Live Oak Acquisition Corp.,LOAK,5/6/2020,5/8/2022,$10.00 ,"200,026,459",U=S+W/2,W=S@11.5,No,"Financial services, industrial, business services, and real estate sectors with above-industry-average growth, substantial free cash flow generation, and a defensible market position"
Sustainable Opportunities Acquisition Corp.,SOAC,5/6/2020,11/8/2021,$10.00 ,"$300,041,768 ",U=S+W/2,W=S@11.5,No,Sustainable (ESG)
Roth CH Acquisition I Co.,ROCH,5/5/2020,2/7/2022,$10.00 ,"$76,508,999 ",U=S+(3/4)W,W=S@11.5,No,"Business services, consumer, healthcare, technology or wellness"
Collective Growth Corporation,CGRO,5/1/2020,11/5/2021,$10.00 ,"$150,021,778 ",U=S+W/2,W=S@11.5,No,Federally permissible cannabinoid industry
Fortress Value Acquisition Corp.,FVAC,4/30/2020,5/4/2022,$10.00 ,"$345,036,875 ",U=S+W/3,W=S@11.5,Yes,Not specified
Social Capital Hedosophia Holdings Corp. II,IPOB,4/28/2020,4/30/2022,$10.00 ,"$414,025,917 ",U=S+W/3,W=S@11.5,No,Technology in the US
CC Neuberger Principal Holdings I,PCPL,4/24/2020,4/28/2022,$10.00 ,"$414,028,653 ",U=S+W/3,W=S@11.5,No,"Financial, technology, and business services"
Chardan Healthcare Acquisition 2 Corp.,CHAQ.U,4/24/2020,4/28/2022,$10.00 ,"$86,237,990 ",U=S+W,W=S/2@11.5,No,Healthcare in North America
Social Capital Hedosophia Holdings Corp. III,IPOC,4/22/2020,4/24/2022,$10.00 ,"$828,064,246 ",U=S+W/3,W=S@11.5,No,Technology outside the US
DFP Healthcare Acquisitions Corp.,DFPH,3/11/2020,3/13/2022,$10.00 ,"$230,021,408 ",U=S+W/4,W=S@11.5,No,Healthcare
Flying Eagle Acquisition Corp.,EAGL6,3/6/2020,3/10/2022,$10.01 ,"$690,502,881 ",U=S+W/4,W=S@11.5,Yes,Not specified
LifeSci Acquisition Corp.,LSAC,3/6/2020,3/10/2022,$10.00 ,"$65,664,798 ",U=S+W,W=S/2@11.5,No,Healthcare in North America
"dMY Technology Group, Inc.",DMYT,2/21/2020,2/24/2022,$10.02 ,"$230,426,941 ",U=S+W/2,W=S@11.5,Yes,Mobile app ecosystem or consumer internet companies
East Stone Acquisition Corporation,ESSC,2/20/2020,5/24/2021,$10.06 ,"$138,792,381 ",U=S+W+R,W=S/2@11.5,No,Fintech in North America and Asia-Pacific
Churchill Capital Corp III,CCXX,2/14/2020,2/19/2022,$10.03 ,"$1,103,757,008 ",U=S+W/4,W=S@11.5,Yes,Not specified
Newborn Acquisition Corp.,NBAC,2/14/2020,2/19/2021,$10.05 ,"$57,806,776 ",U=S+W+R,W=S/2@11.5,No,Asia (excluding China)
Yunhong International,ZGYHU,2/13/2020,2/18/2021,$9.84 ,"$67,902,176 ",U=S+R+W/2,W=S@11.5,No,Asia (excluding China)
CITIC Capital Acquisition Corp.,CCAC,2/11/2020,2/13/2022,$10.07 ,"$277,831,868 ",U=S+W/2,W=S@11.5,No,"Energy efficiency, clean technology and sustainability, with a focus on China/Asia"
Greenrose Acquisition Corp.,GNRS,2/11/2020,8/13/2021,$10.06 ,"$173,521,764 ",U=S+W,W=S@11.5,No,Cannabis
InterPrivate Acquisition Corp.,IPV.U,2/4/2020,11/6/2021,$10.06 ,"$243,040,585 ",U=S+W/2,W=S@11.5,No,Not specified
"Gores Holdings IV, Inc.",GHIV,1/24/2020,1/28/2022,$10.02 ,"$425,837,540 ",U=S+W/4,W=S@11.5,No,Not specified
SCVX Corp.,SCVX,1/24/2020,1/28/2022,$10.02 ,"$230,523,688 ",U=S+W/2,W=S@11.5,No,Cybersecurity
CIIG Merger Corp.,CIIC,12/13/2019,12/17/2021,$10.03 ,"$259,599,722 ",U=S+W/2,W=S@11.5,No,TMT
Healthcare Merger Corp.,HCCO,12/13/2019,12/17/2021,$10.07 ,"$251,676,115 ",U=S+W/2,W=S@11.5,Yes,Healthcare
LIV Capital Acquisition Corp.,LIVK,12/11/2019,9/13/2021,$10.07 ,"$81,050,099 ",U=S+W,W=S@11.5,No,Mexico
Alussa Energy Acquisition Corp.,ALUS,11/26/2019,11/29/2021,$10.08 ,"$289,642,871 ",U=S+W/2,W=S@11.5,No,Energy
CHP Merger Corp.,CHPM,11/22/2019,11/26/2021,$10.06 ,"$301,735,733 ",U=S+W/2,W=S@11.5,No,Healthcare in the United States
PropTech Acquisition Corporation,PTAC,11/22/2019,5/26/2021,$10.04 ,"$173,144,029 ",U=S+W/2,W=S@11.5,Yes,PropTech (businesses that provide technological innovation to the real estate industry)
Amplitude Healthcare Acquisition Corporation,AMHC,11/20/2019,11/22/2021,$10.03 ,"$100,343,160 ",U=S+W/2,W=S@11.5,No,Healthcare
Software Acquisition Group Inc.,SAQN,11/20/2019,5/22/2021,$10.04 ,"$150,053,919 ",U=S+W/2,W=S@11.5,Yes,Software
GreenVision Acquisition Corp.,GRNV,11/19/2019,11/21/2020,$10.06 ,"$57,839,584 ",U=S+W+R,W=S@11.5,Yes,"Healthcare and life sciences in North America, Europe, and Asia (excluding China)"
"Juniper Industrial Holdings, Inc.",JIH,11/8/2019,11/12/2021,$10.05 ,"$346,714,432 ",U=S+W/2,W=S@11.5,No,Industrial
Stable Road Acquisition Corp.,SRAC,11/8/2019,5/12/2021,$10.05 ,"$173,377,731 ",U=S+W/2,W=S@11.5,No,"Cannabis-adjacent (businesses that do not ""touch the plant"")"
LGL Systems Acquisition Corp.,DFNS,11/7/2019,11/12/2021,$10.04 ,"$173,155,233 ",U=S+W/2,W=S@11.5,No,"Aerospace, defense & communications"
Merida Merger Corp. I,MCMJ,11/5/2019,11/7/2021,$10.04 ,"$130,583,767 ",U=S+W/2,W=S@11.5,No,Cannabis
FinServ Acquisition Corp.,FSRV,11/1/2019,11/5/2021,$10.05 ,"$251,247,623 ",U=S+W/2,W=S@11.5,No,Financial services
Osprey Technology Acquisition Corp.,SFTW,11/1/2019,11/5/2021,$10.06 ,"$318,057,127 ",U=S+W/2,W=S@11.5,No,Technology (SaaS)
Galileo Acquisition Corp.,GLEO,10/18/2019,7/22/2021,$10.08 ,"$139,090,854 ",U=S+W,W=S@11.5,No,"Consumer, retail, food and beverage, fashion and luxury, specialty industrial, technology or healthcare; focus on Western Europe, with an emphasis on Italian family-owned businesses, portfolio companies of private equity funds, or corporate spin-offs, and that have significant North American exports and a clearly defined North American high growth strategy"
Union Acquisition Corp. II,LATN,10/18/2019,4/22/2021,$10.06 ,"$201,285,014 ",U=S+W,W=S@11.5,No,Latin America
Apex Technology Acquisition Corporation,APXT,9/17/2019,9/19/2021,$10.07 ,"$352,264,484 ",U=S+W/2,W=S@11.5,No,Software and internet technology
Experience Investment Corp.,EXPC,9/13/2019,9/17/2021,$10.07 ,"$276,879,759 ",U=S+W/3,W=S@11.5,No,Travel and leisure
New Providence Acquisition Corp.,NPAU,9/11/2019,3/13/2021,$10.09 ,"$232,075,713 ",U=S+W/2,W=S@11.5,No,Consumer
"Thunder Bridge Acquisition II, Ltd.",THBR,8/9/2019,8/13/2021,$10.13 ,"$349,565,514 ",U=S+W/2,W=S@11.5,No,Financial services
Silver Spike Acquisition Corp.,SSPK,8/8/2019,2/12/2021,$10.16 ,"$254,070,734 ",U=S+W/2,W=S@11.5,No,Cannabis
Orisun Acquisition Corp.,ORSN,8/2/2019,11/6/2020,$10.09 ,"$44,804,228 ",U=S+W+R,W=S/2@11.5,Yes,High-tech industry in the United States
Netfin Acquisition Corp.,NFIN,7/31/2019,2/2/2021,$10.17 ,"$257,220,012 ",U=S+W,W=S@11.5,Yes,Fintech
Switchback Energy Acquisition Corporation,SBE,7/26/2019,7/30/2021,$10.08 ,"$316,623,539 ",U=S+W/3,W=S@11.5,No,Energy in North America
Conyers Park II Acquisition Corp.,CPAA,7/18/2019,7/22/2021,$10.09 ,"$453,995,793 ",U=S+W/4,W=S@11.5,Yes,Consumer
Oaktree Acquisition Corp.,OAC,7/18/2019,7/22/2021,$10.17 ,"$204,725,005 ",U=S+W/3,W=S@11.5,No,Industrial or consumer
Pivotal Investment Corporation II,PIC,7/12/2019,1/16/2021,$10.10 ,"$232,339,258 ",U=S+W/3,W=S@11.5,No,Industries subject to possible disruption from evolving digital technology
SC Health Corporation,SCPE,7/12/2019,1/16/2021,$10.13 ,"$174,526,070 ",U=S+W/2,W=S@11.5,No,Healthcare in the Asia Pacific region
Tuscan Holdings Corp. II,THCA,7/12/2019,4/16/2021,$10.12 ,"$174,523,771 ",U=S+W/2,W=S@11.5,No,Cannabis
Churchill Capital Corp II,CCC2,6/27/2019,7/1/2021,$10.10 ,"$697,031,785 ",U=S+W/3,W=S@11.5,No,Not specified
South Mountain Merger Corp.,SMMC,6/20/2019,6/24/2021,$10.10 ,"$252,466,180 ",U=S+W/2,W=S@11.5,No,Fintech
Haymaker Acquisition Corp. II,HYACU,6/7/2019,6/11/2021,$10.13 ,"$405,060,397 ",U=S+W/3,W=S@11.5,Yes,Consumer-related products and services
"GigCapital2, Inc.",GIX,6/6/2019,12/10/2020,$10.13 ,"$174,734,722 ",U=S+W+R,W=S@11.5,No,TMT
GX Acquisition Corp.,GXGX,5/21/2019,5/23/2021,$10.14 ,"$291,481,993 ",U=S+W/2,W=S@11.5,No,Not specified
AGBA Acquisition Ltd.,AGBA,5/14/2019,11/16/2020,$10.28 ,"$47,307,540 ",U=S+W+R,W=S/2@11.5,No,"Healthcare, education, entertainment and financial services in China"
"Landcadia Holdings II, Inc.",LCAHU,5/7/2019,5/9/2021,$10.13 ,"$253,224,228 ",U=S+W/3,W=S@11.5,Yes,"Consumer, dining, hospitality, entertainment & gaming"
Replay Acquisition Corp.,RPLA,4/4/2019,4/8/2021,$10.20 ,"$293,168,737 ",U=S+W/2,W=S@11.5,No,Argentina and/or Brazil
8i Enterprises Acquisition Corp,JFKKU,3/28/2019,9/30/2020,$10.30 ,"$59,246,412 ",U=S+W+R,W=S/2@11.5,Yes,Asia
Insurance Acquisition Corp.,INSU,3/20/2019,11/3/2020,$10.16 ,"$153,059,218 ",U=S+W/2,W=S@11.5,Yes,Insurance
Trine Acquisition Corp.,TRNE,3/15/2019,3/19/2021,$10.18 ,"$305,572,817 ",U=S+W/2,W=S@11.5,Yes,"Technology, consumer, and/or media and communications"
Crescent Acquisition Corp,CRSA,3/8/2019,3/12/2021,$10.13 ,"$253,224,228 ",U=S+W/2,W=S@11.5,Yes,Growth-oriented
Tuscan Holdings Corp.,THCB,3/5/2019,12/7/2020,$10.22 ,"$281,882,841 ",U=S+W,W=S@11.5,No,Cannabis
Hennessy Capital Acquisition Corp. IV,HCAC,3/1/2019,12/31/2020,$10.29 ,"$306,677,387 ",U=S+(3/4)W,W=S@11.5,Yes,"Industrial, infrastructure solutions and value-added distribution sectors in the United States"
DiamondPeak Holdings Corp.,DPHC,2/28/2019,3/4/2021,$10.15 ,"$284,191,981 ",U=S+W/3,W=S@11.5,Yes,Real estate related
Tortoise Acquisition Corp.,SHLL,2/28/2019,3/4/2021,$10.17 ,"$236,860,741 ",U=S+W/2,W=S@11.5,Yes,Energy in North America
Acamar Partners Acquisition Corp.,ACAM,2/22/2019,2/26/2021,$10.18 ,"$311,011,126 ",U=S+W/3,W=S@11.5,No,Consumer & retail
RMG Acquisition Corp.,RMG,2/8/2019,2/12/2021,$10.18 ,"$234,014,758 ",U=S+W/3,W=S@11.5,No,Diversified resources & industrial materials
Monocle Acquisition Corporation,MNCL,2/7/2019,11/11/2020,$10.27 ,"$177,166,596 ",U=S+W,W=S@11.5,Yes,"Aerospace and defense, industrial, and technology and telecommunications"
"Gores Metropoulos, Inc.",GMHI,2/1/2019,2/5/2021,$10.16 ,"$406,198,037 ",U=S+W/3,W=S@11.5,Yes,Consumer products and services
Andina Acquisition Corp. III,ANDA,1/29/2019,10/31/2020,$10.24 ,"$66,528,226 ",U=S+W+R,W=S@11.5,No,"Countries in Latin America with stable political and macro-economic frameworks (including Brazil, Chile, Colombia, Mexico & Peru)"
CF Finance Acquisition Corp.,CFFA,12/13/2018,12/17/2020,$10.36 ,"$286,565,390 ",U=S+(3/4)W,W=S@11.5,Yes,Financial services or real estate services
Schultze Special Purpose Acquisition Corp.,SAMA,12/11/2018,9/30/2020,$10.22 ,"$132,448,821 ",U=S+W,W=S@11.5,Yes,Businesses that have experienced a financial restructuring
AMCI Acquisition Corp.,AMCI,11/16/2018,10/20/2020,$10.24 ,"$152,758,330 ",U=S+W,W=S@11.5,No,"Natural Resources and Mining Equipment, Technology and Services"
FinTech Acquisition Corp. III,FTACU,11/16/2018,11/20/2020,$10.24 ,"$353,478,781 ",U=S+W/2,W=S@11.5,Yes,FinTech
Alberton Acquisition Corporation,ALAC,10/24/2018,10/26/2020,$10.60 ,"$14,993,648 ",U=S+W+R,W=S/2@11.5,No,Not specified
Graf Industrial Corp.,GRAF,10/16/2018,10/31/2020,$10.22 ,"$117,122,640 ",U=S+W,W=S(3/4)@11.5,Yes,Industrial
Longevity Acquisition Corporation,LOAC,8/29/2018,11/30/2020,$10.61 ,"$14,401,874 ",U=S+W+R,W=S/2@11.5,No,China
Megalith Financial Acquisition Corp.,MFAC,8/24/2018,11/30/2020,$10.38 ,"$33,164,861 ",U=S+W,W=S@11.5,Yes,Financial services & fintech
Tenzing Acquisition Corp.,TZAC,8/21/2018,9/28/2020,$10.71 ,"$34,219,205 ",U=S+W,W=S@11.5,Yes,India
Spartan Energy Acquisition Corp.,SPAQ,8/10/2018,2/14/2021,$10.32 ,"$568,756,787 ",U=S+W/3,W=S@11.5,Yes,Energy in North America
Forum Merger II Corp.,FMCI,8/3/2018,9/30/2020,$10.40 ,"$207,795,565 ",U=S+W,W=S@11.5,Yes,Not specified
Tottenham Acquisition I Limited,TOTA,8/2/2018,11/6/2020,$10.78 ,"$25,276,693 ",U=S+W+R,W=S/2@11.5,Yes,"TMT, education, e-commerce, health-care and consumer goods with primary operations in Asia (with an emphasis in China)"
HL Acquisitions Corp.,HCCH,6/28/2018,10/2/2020,$10.57 ,"$53,858,474 ",U=S+W+R,W=S@11.5,Yes,Hydrocarbon logistics and processing
LF Capital Acquisition Corp.,LFAC,6/20/2018,9/22/2020,$10.50 ,"$141,106,941 ",U=S+W,W=S@11.5,Yes,Commercial banking and financial technology
Trident Acquisitions Corp.,TDAC,5/30/2018,12/1/2020,$10.76 ,"$62,286,780 ",U=S+W,W=S@11.5,No,Oil and gas or other natural resources in Eastern Europe
Opes Acquisition Corp.,OPES,3/14/2018,11/15/2020,$10.70 ,"$48,621,440 ",U=S+W,W=S@11.5,Yes,Mexico
Leisure Acquisition Corp.,LACQ,12/1/2017,12/1/2020,$9.97 ,"$13,200,000 ",U=S+W/2,W=S@11.5,No,"Leisure (gaming, travel & recreation)"
Big Rock Partners Acquisition Corp.,BRPA,11/20/2017,12/23/2020,$10.76 ,"$6,243,841 ",U=S+R+W/2,W=S@11.5,No,Senior housing and care industry in the United States
Legacy Acquisition Corp.,LGC,11/17/2017,11/20/2020,$10.45 ,"$63,978,000 ",U=S+W,W=S/2@11.5,No,"Consumer packaged goods and other consumables, consumer durables, or retail and restaurants"
KBL Merger Corp. IV,KBLM,6/2/2017,11/9/2020,$10.93 ,"$10,279,476 ",U=S+W+R,W=S/2@11.5,Yes,Healthcare and related wellness
